system:time_start,SoilMoi00_10cm_tavg
"Jan 1, 2000",0.318
"Feb 1, 2000",0.318
"Mar 1, 2000",0.345
"Apr 1, 2000",0.36
"May 1, 2000",0.367
"Jun 1, 2000",0.356
"Jul 1, 2000",0.337
"Aug 1, 2000",0.315
"Sep 1, 2000",0.347
"Oct 1, 2000",0.346
"Nov 1, 2000",0.358
"Dec 1, 2000",0.307
"Jan 1, 2001",0.291
"Feb 1, 2001",0.288
"Mar 1, 2001",0.32
"Apr 1, 2001",0.315
"May 1, 2001",0.331
"Jun 1, 2001",0.309
"Jul 1, 2001",0.288
"Aug 1, 2001",0.267
"Sep 1, 2001",0.305
"Oct 1, 2001",0.321
"Nov 1, 2001",0.327
"Dec 1, 2001",0.335
"Jan 1, 2002",0.28
"Feb 1, 2002",0.286
"Mar 1, 2002",0.304
"Apr 1, 2002",0.37
"May 1, 2002",0.353
"Jun 1, 2002",0.371
"Jul 1, 2002",0.329
"Aug 1, 2002",0.301
"Sep 1, 2002",0.308
"Oct 1, 2002",0.324
"Nov 1, 2002",0.332
"Dec 1, 2002",0.303
"Jan 1, 2003",0.258
"Feb 1, 2003",0.282
"Mar 1, 2003",0.312
"Apr 1, 2003",0.351
"May 1, 2003",0.328
"Jun 1, 2003",0.331
"Jul 1, 2003",0.302
"Aug 1, 2003",0.299
"Sep 1, 2003",0.301
"Oct 1, 2003",0.35
"Nov 1, 2003",0.364
"Dec 1, 2003",0.345
"Jan 1, 2004",0.302
"Feb 1, 2004",0.273
"Mar 1, 2004",0.299
"Apr 1, 2004",0.35
"May 1, 2004",0.366
"Jun 1, 2004",0.345
"Jul 1, 2004",0.326
"Aug 1, 2004",0.299
"Sep 1, 2004",0.326
"Oct 1, 2004",0.355
"Nov 1, 2004",0.365
"Dec 1, 2004",0.342
"Jan 1, 2005",0.314
"Feb 1, 2005",0.305
"Mar 1, 2005",0.3
"Apr 1, 2005",0.326
"May 1, 2005",0.372
"Jun 1, 2005",0.344
"Jul 1, 2005",0.32
"Aug 1, 2005",0.291
"Sep 1, 2005",0.311
"Oct 1, 2005",0.355
"Nov 1, 2005",0.372
"Dec 1, 2005",0.345
"Jan 1, 2006",0.313
"Feb 1, 2006",0.309
"Mar 1, 2006",0.34
"Apr 1, 2006",0.376
"May 1, 2006",0.387
"Jun 1, 2006",0.373
"Jul 1, 2006",0.322
"Aug 1, 2006",0.312
"Sep 1, 2006",0.311
"Oct 1, 2006",0.336
"Nov 1, 2006",0.364
"Dec 1, 2006",0.345
"Jan 1, 2007",0.297
"Feb 1, 2007",0.275
"Mar 1, 2007",0.29
"Apr 1, 2007",0.353
"May 1, 2007",0.353
"Jun 1, 2007",0.34
"Jul 1, 2007",0.307
"Aug 1, 2007",0.286
"Sep 1, 2007",0.31
"Oct 1, 2007",0.349
"Nov 1, 2007",0.358
"Dec 1, 2007",0.339
"Jan 1, 2008",0.323
"Feb 1, 2008",0.31
"Mar 1, 2008",0.316
"Apr 1, 2008",0.35
"May 1, 2008",0.365
"Jun 1, 2008",0.366
"Jul 1, 2008",0.351
"Aug 1, 2008",0.347
"Sep 1, 2008",0.342
"Oct 1, 2008",0.353
"Nov 1, 2008",0.383
"Dec 1, 2008",0.372
"Jan 1, 2009",0.341
"Feb 1, 2009",0.348
"Mar 1, 2009",0.359
"Apr 1, 2009",0.373
"May 1, 2009",0.367
"Jun 1, 2009",0.351
"Jul 1, 2009",0.327
"Aug 1, 2009",0.307
"Sep 1, 2009",0.306
"Oct 1, 2009",0.328
"Nov 1, 2009",0.341
"Dec 1, 2009",0.295
"Jan 1, 2010",0.251
"Feb 1, 2010",0.267
"Mar 1, 2010",0.293
"Apr 1, 2010",0.363
"May 1, 2010",0.364
"Jun 1, 2010",0.375
