system:time_start,precipitation
"Jan 1, 2000",52.424
"Feb 1, 2000",78.368
"Mar 1, 2000",95.192
"Apr 1, 2000",78.854
"May 1, 2000",124.403
"Jun 1, 2000",80.836
"Jul 1, 2000",73.724
"Aug 1, 2000",70.763
"Sep 1, 2000",115.385
"Oct 1, 2000",108.765
"Nov 1, 2000",83.986
"Dec 1, 2000",52.967
"Jan 1, 2001",25.132
"Feb 1, 2001",62.977
"Mar 1, 2001",83.862
"Apr 1, 2001",55.452
"May 1, 2001",117.758
"Jun 1, 2001",56.741
"Jul 1, 2001",56.315
"Aug 1, 2001",46.154
"Sep 1, 2001",83.274
"Oct 1, 2001",106.238
"Nov 1, 2001",91.51
"Dec 1, 2001",89.19
"Jan 1, 2002",28.326
"Feb 1, 2002",36.446
"Mar 1, 2002",121.932
"Apr 1, 2002",185.12
"May 1, 2002",132.149
"Jun 1, 2002",95.615
"Jul 1, 2002",65.597
"Aug 1, 2002",62.277
"Sep 1, 2002",72.873
"Oct 1, 2002",117.933
"Nov 1, 2002",61.543
"Dec 1, 2002",72.758
"Jan 1, 2003",20.15
"Feb 1, 2003",56.259
"Mar 1, 2003",104.878
"Apr 1, 2003",137.477
"May 1, 2003",69.258
"Jun 1, 2003",75.768
"Jul 1, 2003",66.1
"Aug 1, 2003",48.948
"Sep 1, 2003",79.565
"Oct 1, 2003",150.27
"Nov 1, 2003",131.659
"Dec 1, 2003",58.251
"Jan 1, 2004",31.062
"Feb 1, 2004",61.634
"Mar 1, 2004",57.793
"Apr 1, 2004",145.635
"May 1, 2004",144.311
"Jun 1, 2004",72.835
"Jul 1, 2004",73.12
"Aug 1, 2004",52.073
"Sep 1, 2004",83.845
"Oct 1, 2004",149.615
"Nov 1, 2004",118.157
"Dec 1, 2004",55.448
"Jan 1, 2005",44.101
"Feb 1, 2005",55.796
"Mar 1, 2005",53.894
"Apr 1, 2005",108.68
"May 1, 2005",182.672
"Jun 1, 2005",65.994
"Jul 1, 2005",58.526
"Aug 1, 2005",55.111
"Sep 1, 2005",77.234
"Oct 1, 2005",150.612
"Nov 1, 2005",124.71
"Dec 1, 2005",53.229
"Jan 1, 2006",51.797
"Feb 1, 2006",42.53
"Mar 1, 2006",124.964
"Apr 1, 2006",175.925
"May 1, 2006",138.26
"Jun 1, 2006",109.111
"Jul 1, 2006",58.107
"Aug 1, 2006",47.864
"Sep 1, 2006",49.012
"Oct 1, 2006",127.214
"Nov 1, 2006",128.669
"Dec 1, 2006",65.484
"Jan 1, 2007",33.798
"Feb 1, 2007",28.428
"Mar 1, 2007",88.012
"Apr 1, 2007",138.744
"May 1, 2007",105.808
"Jun 1, 2007",73.719
"Jul 1, 2007",49.38
"Aug 1, 2007",72.269
"Sep 1, 2007",41.038
"Oct 1, 2007",179.717
"Nov 1, 2007",94.938
"Dec 1, 2007",86.768
"Jan 1, 2008",56.794
"Feb 1, 2008",62.084
"Mar 1, 2008",87.046
"Apr 1, 2008",100.54
"May 1, 2008",179.309
"Jun 1, 2008",101.093
"Jul 1, 2008",91.819
"Aug 1, 2008",103.799
"Sep 1, 2008",67.518
"Oct 1, 2008",125.033
"Nov 1, 2008",181.51
"Dec 1, 2008",64.623
"Jan 1, 2009",70.905
"Feb 1, 2009",54.966
"Mar 1, 2009",123.024
"Apr 1, 2009",94.058
"May 1, 2009",82.051
"Jun 1, 2009",92.551
"Jul 1, 2009",55.365
"Aug 1, 2009",56.987
"Sep 1, 2009",56.516
"Oct 1, 2009",125.037
"Nov 1, 2009",91.438
"Dec 1, 2009",48.228
"Jan 1, 2010",21.308
"Feb 1, 2010",44.128
"Mar 1, 2010",53.609
"Apr 1, 2010",208.154
"May 1, 2010",174.986
"Jun 1, 2010",98.546
"Jul 1, 2010",134.989
"Aug 1, 2010",57.578
"Sep 1, 2010",86.113
"Oct 1, 2010",144.084
"Nov 1, 2010",202.156
